"WHSE","YEAR","MONTH","WEEK","DATE","DEPT_WORKED","CORE_PROCESS","SKU_CLASS","STD_TIME","ACTUAL_TIME","INDIRECT_TIME","ONSTD_TIME","WEIGHT","CUBE","CARTONS","PALLET","LINES","TRAILER_CHURN","EFF","WEIGHT_PH","CUBE_PH","CARTONS_PH","PALLET_PH","LINES_PH","TRAILER_PH","CUBE_PER_LINE","CUBE_PER_TRAILER"
5,22,5,19,2022-05-07,"INBOUND","RECEIVING","DOMESTIC",51.38,76.58,3.13,65.82,109762.6,10834.79,6657,1653,237,3,78.06,1433.31,141.48,86.93,21.59,3.09,0.04,45.72,3611.6
5,22,5,19,2022-05-08,"INBOUND","RECEIVING","OFFSHORE",137.21,184.23,5.83,157.07,235769.93,21496.44,32365.18,10837.5,4554,17,87.36,1279.76,116.68,175.68,58.83,24.72,0.09,4.72,1264.5
5,22,5,19,2022-05-08,"INBOUND","RECEIVING","DOMESTIC",47.71,68.45,1.63,60.52,166882,11396.55,7751,1301.67,390.08,3,78.83,2438.01,166.49,113.24,19.02,5.7,0.04,29.22,3798.85
5,22,5,19,2022-05-09,"INBOUND","RECEIVING","OFFSHORE",134.63,218.87,23.5,189.13,243836.33,18841.81,27834.84,12396,7007,7,71.18,1114.07,86.09,127.18,56.64,32.01,0.03,2.69,2691.69
5,22,5,19,2022-05-09,"INBOUND","RECEIVING","DOMESTIC",55.16,88.47,7.07,76.68,133674.48,12670.39,8643,3707,616,27,71.94,1510.96,143.22,97.69,41.9,6.96,0.31,20.57,469.27
5,22,5,19,2022-05-10,"INBOUND","RECEIVING","OFFSHORE",174.17,258.6,9.1,222.97,248634.24,21993.11,30554.2,10531,4598.75,7,78.11,961.46,85.05,118.15,40.72,17.78,0.03,4.78,3141.87
5,22,5,19,2022-05-10,"INBOUND","RECEIVING","DOMESTIC",58.53,74.95,1.4,64.85,118371.56,8430.62,9741.25,2163,425,4,90.25,1579.34,112.48,129.97,28.86,5.67,0.05,19.84,2107.66
5,22,5,19,2022-05-11,"INBOUND","RECEIVING","OFFSHORE",134.19,173.13,5.05,150.7,208770,17087.13,20035.31,9663.5,4058.25,4,89.04,1205.86,98.7,115.72,55.82,23.44,0.02,4.21,4271.78
5,22,5,19,2022-05-11,"INBOUND","RECEIVING","DOMESTIC",47.07,53.47,6.85,45.83,71705.61,7922.37,6559,2139,190,20,102.71,1341.04,148.16,122.67,40,3.55,0.37,41.7,396.12
5,22,5,19,2022-05-12,"INBOUND","RECEIVING","OFFSHORE",158.73,248.9,11.27,215.38,271190.33,19644.59,30050.95,14232,7309,7,73.7,1089.56,78.93,120.74,57.18,29.37,0.03,2.69,2806.37
5,22,5,19,2022-05-12,"INBOUND","RECEIVING","DOMESTIC",79.52,92.62,0.52,80.35,87196.04,8759.83,8022.48,2678,285,5,98.97,941.44,94.58,86.62,28.91,3.08,0.05,30.74,1751.97
5,22,5,20,2022-05-13,"INBOUND","RECEIVING","OFFSHORE",166.81,225.08,11.97,197.52,274425.86,22141.66,24922.07,15111,6140,5,84.45,1219.24,98.37,110.73,67.14,27.28,0.02,3.61,4428.33
5,22,5,20,2022-05-13,"INBOUND","RECEIVING","DOMESTIC",86.05,102.58,1.5,88.65,204768.53,18705.77,13968,5005,538,5,97.07,1996.18,182.35,136.17,48.79,5.24,0.05,34.77,3741.15
5,22,5,20,2022-05-14,"INBOUND","RECEIVING","OFFSHORE",185.5,330.62,23.8,283.93,280255.46,24047.77,24252,13060.5,5162,5,65.33,847.67,72.74,73.35,39.5,15.61,0.02,4.66,4809.55
5,22,5,20,2022-05-14,"INBOUND","RECEIVING","DOMESTIC",53.22,76.25,3.05,66.97,49127.97,8106.94,3893,1067,212,3,79.47,644.3,106.32,51.06,13.99,2.78,0.04,38.24,2702.31
5,22,5,20,2022-05-15,"INBOUND","RECEIVING","OFFSHORE",141.79,251.75,0.75,219.25,215594.39,19130.35,25044.59,13141.5,7609,8,64.67,856.38,75.99,99.48,52.2,30.22,0.03,2.51,2391.29
